Symbol,Date,Value
9e9dca492a061e211740838882,2024-12-24 00:00:00,0.199
9e9dca492a061e211740838882,2024-12-24 01:00:00,0.205
9e9dca492a061e211740838882,2024-12-24 02:00:00,0.201
9e9dca492a061e211740838882,2024-12-24 03:00:00,0.199
9e9dca492a061e211740838882,2024-12-24 04:00:00,0.207
9e9dca492a061e211740838882,2024-12-24 05:00:00,0.201
9e9dca492a061e211740838882,2024-12-24 06:00:00,0.2
9e9dca492a061e211740838882,2024-12-24 07:00:00,0.203
9e9dca492a061e211740838882,2024-12-24 08:00:00,0.201
9e9dca492a061e211740838882,2024-12-24 09:00:00,0.201
9e9dca492a061e211740838882,2024-12-24 10:00:00,0.216
9e9dca492a061e211740838882,2024-12-24 11:00:00,0.218
9e9dca492a061e211740838882,2024-12-24 12:00:00,0.207
9e9dca492a061e211740838882,2024-12-24 13:00:00,0.202
9e9dca492a061e211740838882,2024-12-24 14:00:00,0.205
9e9dca492a061e211740838882,2024-12-24 15:00:00,0.204
9e9dca492a061e211740838882,2024-12-24 16:00:00,0.204
9e9dca492a061e211740838882,2024-12-24 17:00:00,0.204
9e9dca492a061e211740838882,2024-12-24 18:00:00,0.215
9e9dca492a061e211740838882,2024-12-24 19:00:00,0.198
9e9dca492a061e211740838882,2024-12-24 20:00:00,0.216
9e9dca492a061e211740838882,2024-12-24 21:00:00,0.221
9e9dca492a061e211740838882,2024-12-24 22:00:00,0.216
9e9dca492a061e211740838882,2024-12-24 23:00:00,0.214
3fd0482ebd211dd11741080835,2024-12-24 00:00:00,0.044
3fd0482ebd211dd11741080835,2024-12-24 01:00:00,0.077
3fd0482ebd211dd11741080835,2024-12-24 02:00:00,0.075
3fd0482ebd211dd11741080835,2024-12-24 03:00:00,0.074
3fd0482ebd211dd11741080835,2024-12-24 04:00:00,0.035
3fd0482ebd211dd11741080835,2024-12-24 05:00:00,0.019
3fd0482ebd211dd11741080835,2024-12-24 06:00:00,0.031
3fd0482ebd211dd11741080835,2024-12-24 07:00:00,0.151
3fd0482ebd211dd11741080835,2024-12-24 08:00:00,0.107
3fd0482ebd211dd11741080835,2024-12-24 09:00:00,0.1
3fd0482ebd211dd11741080835,2024-12-24 10:00:00,0.089
3fd0482ebd211dd11741080835,2024-12-24 11:00:00,0.09
3fd0482ebd211dd11741080835,2024-12-24 12:00:00,0.086
3fd0482ebd211dd11741080835,2024-12-24 13:00:00,0.068
3fd0482ebd211dd11741080835,2024-12-24 14:00:00,0.081
3fd0482ebd211dd11741080835,2024-12-24 15:00:00,0.103
3fd0482ebd211dd11741080835,2024-12-24 16:00:00,0.209
3fd0482ebd211dd11741080835,2024-12-24 17:00:00,0.098
3fd0482ebd211dd11741080835,2024-12-24 18:00:00,0.057
3fd0482ebd211dd11741080835,2024-12-24 19:00:00,0.072
3fd0482ebd211dd11741080835,2024-12-24 20:00:00,0.097
3fd0482ebd211dd11741080835,2024-12-24 21:00:00,0.065
3fd0482ebd211dd11741080835,2024-12-24 22:00:00,0.084
3fd0482ebd211dd11741080835,2024-12-24 23:00:00,0.12
ed9f4fcf0bfb1afa1741424674,2024-12-24 00:00:00,3.468
ed9f4fcf0bfb1afa1741424674,2024-12-24 01:00:00,3.48
ed9f4fcf0bfb1afa1741424674,2024-12-24 02:00:00,3.81
ed9f4fcf0bfb1afa1741424674,2024-12-24 03:00:00,3.197
ed9f4fcf0bfb1afa1741424674,2024-12-24 04:00:00,2.978
ed9f4fcf0bfb1afa1741424674,2024-12-24 05:00:00,2.053
ed9f4fcf0bfb1afa1741424674,2024-12-24 06:00:00,5.098
ed9f4fcf0bfb1afa1741424674,2024-12-24 07:00:00,3.965
ed9f4fcf0bfb1afa1741424674,2024-12-24 08:00:00,4.505
ed9f4fcf0bfb1afa1741424674,2024-12-24 09:00:00,3.924
ed9f4fcf0bfb1afa1741424674,2024-12-24 10:00:00,5.35
ed9f4fcf0bfb1afa1741424674,2024-12-24 11:00:00,4.441
ed9f4fcf0bfb1afa1741424674,2024-12-24 12:00:00,4.231
ed9f4fcf0bfb1afa1741424674,2024-12-24 13:00:00,8.335
ed9f4fcf0bfb1afa1741424674,2024-12-24 14:00:00,7.911
ed9f4fcf0bfb1afa1741424674,2024-12-24 15:00:00,7.359
ed9f4fcf0bfb1afa1741424674,2024-12-24 16:00:00,5.472
ed9f4fcf0bfb1afa1741424674,2024-12-24 17:00:00,7.624
ed9f4fcf0bfb1afa1741424674,2024-12-24 18:00:00,6.563
ed9f4fcf0bfb1afa1741424674,2024-12-24 19:00:00,4.57
ed9f4fcf0bfb1afa1741424674,2024-12-24 20:00:00,4.477
ed9f4fcf0bfb1afa1741424674,2024-12-24 21:00:00,3.73
ed9f4fcf0bfb1afa1741424674,2024-12-24 22:00:00,4.09
ed9f4fcf0bfb1afa1741424674,2024-12-24 23:00:00,3.102
c550bcace2429c281741504217,2024-12-24 00:00:00,0.147
c550bcace2429c281741504217,2024-12-24 01:00:00,0.273
c550bcace2429c281741504217,2024-12-24 02:00:00,0.25
c550bcace2429c281741504217,2024-12-24 03:00:00,0.274
c550bcace2429c281741504217,2024-12-24 04:00:00,0.184
c550bcace2429c281741504217,2024-12-24 05:00:00,0.138
c550bcace2429c281741504217,2024-12-24 06:00:00,0.162
c550bcace2429c281741504217,2024-12-24 07:00:00,0.374
c550bcace2429c281741504217,2024-12-24 08:00:00,0.409
c550bcace2429c281741504217,2024-12-24 09:00:00,0.626
c550bcace2429c281741504217,2024-12-24 10:00:00,0.578
c550bcace2429c281741504217,2024-12-24 11:00:00,1.592
c550bcace2429c281741504217,2024-12-24 12:00:00,0.859
c550bcace2429c281741504217,2024-12-24 13:00:00,0.81
c550bcace2429c281741504217,2024-12-24 14:00:00,0.788
c550bcace2429c281741504217,2024-12-24 15:00:00,0.674
c550bcace2429c281741504217,2024-12-24 16:00:00,0.692
c550bcace2429c281741504217,2024-12-24 17:00:00,0.62
c550bcace2429c281741504217,2024-12-24 18:00:00,0.648
c550bcace2429c281741504217,2024-12-24 19:00:00,0.604
c550bcace2429c281741504217,2024-12-24 20:00:00,0.564
c550bcace2429c281741504217,2024-12-24 21:00:00,0.402
c550bcace2429c281741504217,2024-12-24 22:00:00,0.308
c550bcace2429c281741504217,2024-12-24 23:00:00,0.268
d8cd1b7c670501c41742115495,2024-12-24 00:00:00,0.214
d8cd1b7c670501c41742115495,2024-12-24 01:00:00,0.181
d8cd1b7c670501c41742115495,2024-12-24 02:00:00,1.854
d8cd1b7c670501c41742115495,2024-12-24 03:00:00,1.481
d8cd1b7c670501c41742115495,2024-12-24 04:00:00,1.474
d8cd1b7c670501c41742115495,2024-12-24 05:00:00,1.501
d8cd1b7c670501c41742115495,2024-12-24 06:00:00,0.209
d8cd1b7c670501c41742115495,2024-12-24 07:00:00,0.292
d8cd1b7c670501c41742115495,2024-12-24 08:00:00,0.293
d8cd1b7c670501c41742115495,2024-12-24 09:00:00,0.232
d8cd1b7c670501c41742115495,2024-12-24 10:00:00,2.255
d8cd1b7c670501c41742115495,2024-12-24 11:00:00,1.141
d8cd1b7c670501c41742115495,2024-12-24 12:00:00,1.149
d8cd1b7c670501c41742115495,2024-12-24 13:00:00,1.048
d8cd1b7c670501c41742115495,2024-12-24 14:00:00,0.485
d8cd1b7c670501c41742115495,2024-12-24 15:00:00,2.294
d8cd1b7c670501c41742115495,2024-12-24 16:00:00,1.161
d8cd1b7c670501c41742115495,2024-12-24 17:00:00,0.329
d8cd1b7c670501c41742115495,2024-12-24 18:00:00,1.203
d8cd1b7c670501c41742115495,2024-12-24 19:00:00,0.312
d8cd1b7c670501c41742115495,2024-12-24 20:00:00,0.395
d8cd1b7c670501c41742115495,2024-12-24 21:00:00,0.411
d8cd1b7c670501c41742115495,2024-12-24 22:00:00,0.333
d8cd1b7c670501c41742115495,2024-12-24 23:00:00,0.299
e19ce9f7cd6985d21742127622,2024-12-24 00:00:00,0.212
e19ce9f7cd6985d21742127622,2024-12-24 01:00:00,0.57
e19ce9f7cd6985d21742127622,2024-12-24 02:00:00,0.43
e19ce9f7cd6985d21742127622,2024-12-24 03:00:00,0.6
e19ce9f7cd6985d21742127622,2024-12-24 04:00:00,0.44
e19ce9f7cd6985d21742127622,2024-12-24 05:00:00,0.46
e19ce9f7cd6985d21742127622,2024-12-24 06:00:00,0.56
e19ce9f7cd6985d21742127622,2024-12-24 07:00:00,0.44
e19ce9f7cd6985d21742127622,2024-12-24 08:00:00,0.45
e19ce9f7cd6985d21742127622,2024-12-24 09:00:00,0.57
e19ce9f7cd6985d21742127622,2024-12-24 10:00:00,0.81
e19ce9f7cd6985d21742127622,2024-12-24 11:00:00,0.192
e19ce9f7cd6985d21742127622,2024-12-24 12:00:00,0.41
e19ce9f7cd6985d21742127622,2024-12-24 13:00:00,0.55
e19ce9f7cd6985d21742127622,2024-12-24 14:00:00,0.41
e19ce9f7cd6985d21742127622,2024-12-24 15:00:00,0.46
e19ce9f7cd6985d21742127622,2024-12-24 16:00:00,0.49
e19ce9f7cd6985d21742127622,2024-12-24 17:00:00,0.41
e19ce9f7cd6985d21742127622,2024-12-24 18:00:00,0.48
e19ce9f7cd6985d21742127622,2024-12-24 19:00:00,0.46
e19ce9f7cd6985d21742127622,2024-12-24 20:00:00,0.41
e19ce9f7cd6985d21742127622,2024-12-24 21:00:00,0.5
e19ce9f7cd6985d21742127622,2024-12-24 22:00:00,0.45
e19ce9f7cd6985d21742127622,2024-12-24 23:00:00,0.39
eb18877694cc036a1742320408,2024-12-24 00:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 01:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 02:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 03:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 04:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 05:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 06:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 07:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 08:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 09:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 10:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 11:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 12:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 13:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 14:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 15:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 16:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 17:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 18:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 19:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 20:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 21:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 22:00:00,0.0
eb18877694cc036a1742320408,2024-12-24 23:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 00:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 01:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 02:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 03:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 04:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 05:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 06:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 07:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 08:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 09:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 10:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 11:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 12:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 13:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 14:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 15:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 16:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 17:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 18:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 19:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 20:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 21:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 22:00:00,0.0
aa9c3ce25421e6231742320435,2024-12-24 23:00:00,0.0
6f9be12993e8e64a1742388290,2024-12-24 00:00:00,0.964
6f9be12993e8e64a1742388290,2024-12-24 01:00:00,1.535
6f9be12993e8e64a1742388290,2024-12-24 02:00:00,1.27
6f9be12993e8e64a1742388290,2024-12-24 03:00:00,0.979
6f9be12993e8e64a1742388290,2024-12-24 04:00:00,0.244
6f9be12993e8e64a1742388290,2024-12-24 05:00:00,0.243
6f9be12993e8e64a1742388290,2024-12-24 06:00:00,0.24
6f9be12993e8e64a1742388290,2024-12-24 07:00:00,0.395
6f9be12993e8e64a1742388290,2024-12-24 08:00:00,0.974
6f9be12993e8e64a1742388290,2024-12-24 09:00:00,0.964
6f9be12993e8e64a1742388290,2024-12-24 10:00:00,0.446
6f9be12993e8e64a1742388290,2024-12-24 11:00:00,0.322
6f9be12993e8e64a1742388290,2024-12-24 12:00:00,0.228
6f9be12993e8e64a1742388290,2024-12-24 13:00:00,0.69
6f9be12993e8e64a1742388290,2024-12-24 14:00:00,1.992
6f9be12993e8e64a1742388290,2024-12-24 15:00:00,1.107
6f9be12993e8e64a1742388290,2024-12-24 16:00:00,0.313
6f9be12993e8e64a1742388290,2024-12-24 17:00:00,1.249
6f9be12993e8e64a1742388290,2024-12-24 18:00:00,2.334
6f9be12993e8e64a1742388290,2024-12-24 19:00:00,0.547
6f9be12993e8e64a1742388290,2024-12-24 20:00:00,1.166
6f9be12993e8e64a1742388290,2024-12-24 21:00:00,1.132
6f9be12993e8e64a1742388290,2024-12-24 22:00:00,0.489
6f9be12993e8e64a1742388290,2024-12-24 23:00:00,1.521
30a9acf4c93990491742459874,2024-12-24 00:00:00,0.089
30a9acf4c93990491742459874,2024-12-24 01:00:00,0.078
30a9acf4c93990491742459874,2024-12-24 02:00:00,0.102
30a9acf4c93990491742459874,2024-12-24 03:00:00,0.099
30a9acf4c93990491742459874,2024-12-24 04:00:00,0.178
30a9acf4c93990491742459874,2024-12-24 05:00:00,0.071
30a9acf4c93990491742459874,2024-12-24 06:00:00,0.127
30a9acf4c93990491742459874,2024-12-24 07:00:00,0.523
30a9acf4c93990491742459874,2024-12-24 08:00:00,0.756
30a9acf4c93990491742459874,2024-12-24 09:00:00,1.491
30a9acf4c93990491742459874,2024-12-24 10:00:00,1.26
30a9acf4c93990491742459874,2024-12-24 11:00:00,0.738
30a9acf4c93990491742459874,2024-12-24 12:00:00,1.466
30a9acf4c93990491742459874,2024-12-24 13:00:00,2.622
30a9acf4c93990491742459874,2024-12-24 14:00:00,1.806
30a9acf4c93990491742459874,2024-12-24 15:00:00,0.788
30a9acf4c93990491742459874,2024-12-24 16:00:00,0.356
30a9acf4c93990491742459874,2024-12-24 17:00:00,0.418
30a9acf4c93990491742459874,2024-12-24 18:00:00,1.357
30a9acf4c93990491742459874,2024-12-24 19:00:00,0.494
30a9acf4c93990491742459874,2024-12-24 20:00:00,0.264
30a9acf4c93990491742459874,2024-12-24 21:00:00,0.248
30a9acf4c93990491742459874,2024-12-24 22:00:00,0.056
30a9acf4c93990491742459874,2024-12-24 23:00:00,0.074
